                                                                                                                 請使用[Ctrl+F]搜尋題庫關鍵字,,,,,,,,,
,,,,,,,,,
"• Horny Mushroom – Spiky Mushroom Cap 色情蘑菇 – 尖刺蘑菇帽
• Wild Boar – Wild Boar Fang 野豬 – 野豬的獠牙
• Tauroshield – Tauroshield Antler牛頭盾 – 牛頭盾鹿角
• Hot Mixed Golem – Fire Stone Block 熱混合石頭人 – 火石塊
• Stirge – Stirge's Wing 蝙蝠 – 蝙蝠翅膀✔",,,,,,,,,
,,,,,,,,,
Which monster cannot be found in Victoria Island?在維多利亞島上找不到哪種怪物？,,,,,,,,,
"• Evil Eye 火獨眼獸
• Sentinel 石球✔
• Jr. Balrog 巴洛古
• Ghost Stump 發芽木妖
• Miner Zombie 礦山殭屍（地鐵二號線[地區03]）",,,,,,,,,
,,,,,,,,,
What is not a monster found in ChronoStory? 以下哪種怪物不會出現在ChronoStory？,,,,,,,,,
"• Snowball Pepe 雪球企鵝王
• Tauroshield 盾牌牛魔王
• Chunky Snail 矮胖蝸牛
• Red Stirge 紅色枯萎蝙蝠✔
• Trtice 冰烏龜",,,,,,,,,
,,,,,,,,,
What is not a monster found in ChronoStory? 在ChronoStory 中找不到的怪物是什麽？,,,,,,,,,
"• Snowball Pepe 雪球企鵝王
• Tauroshield 盾牌牛魔王
• Chunky Snail 矮胖蝸牛
• Red Stirge 紅色吸血蝙蝠✔
• Trtice 冰烏龜",,,,,,,,,
,,,,,,,,,
Which monster will be seen during the ride to Orbis/Ellinia?前往天空之城／魔法密林的旅途中會遇到哪種怪物？,,,,,,,,,
"• Werewolf 狼人
• Slime 綠水靈
• Crimson Balrog 地獄巴洛古✔
• Zakum
• Star Pixie 星光精靈",,,,,,,,,
,,,,,,,,,
Maple Island doesn't have which of the following monsters?楓之島沒有下列哪種怪物？,,,,,,,,,
"• Shroom 菇菇仔
• Green Mushroom 綠菇菇
• Slime 綠水靈
• Red Snail 紅寶
• Blue Mushroom 藍菇菇✔",,,,,,,,,
,,,,,,,,,
Which of following monsters's item INCORRECTLY corresponds to the monster?以下哪個怪物的物品對應不正確？,,,,,,,,,
"• Dark Eye – Dark Eye Tail 黑獨眼獸 — 黑獨眼獸尾巴
• Nependeath – Nependeath's Nut 食人花 — 食人花果實✔
• Ghost Stump – Seedling 發芽木妖 — 苗木
• Cold Mixed Golem – Cold Stone Block 冰之混種石巨人 — 冰石塊
• Miner Zombie – Zombie's Lost Tooth 礦山殭屍 — 殭屍的臼齒",,,,,,,,,
,,,,,,,,,
Which of following potions has WRONG info.?以下哪種藥水的資訊有誤？,,,,,,,,,
"• Mana Elixir – Recover 300 MP 魔力藥水 – 回復 300 MP
• Tonic – Cures state of weakness 補劑 – 治癒虛弱狀態
• Apple – Recover 30 HP 蘋果 – 回復 30 HP
• Sunrise Dew – Recover 3000 MP 朝露 – 回復 3000 MP✔
• Unagi – Recover 1000 HP 鰻魚 – 回復 1000 HP",,,,,,,,,
,,,,,,,,,
Which of following potions has CORRECT info.?以下哪種藥水具有正確資訊？,,,,,,,,,
"• Warrior Pill – Attack +5 for 3 minutes 戰士藥丸 – 攻擊力 +5，持續 3 分鐘
• Pure Water – Recover 700 MP 純水 – 回復 700 MP
• Cake – Recover 150 HP & MP 蛋糕 – 回復 150 HP & MP
• Salad – Recover 300 MP 沙拉 – 回復 300 MP
• Pizza – Recover 400 HP披薩 – 回復 400 HP ✔",,,,,,,,,
,,,,,,,,,
Which of the following debuffs is incorrect?以下哪個減益效果不正確？,,,,,,,,,
"• Sealed – skills become disabled 封印 – 技能失效
• Undead – turns undead & halved recovery amounts 不死族 – 像是不死生物＆恢復量減半
• Weaken – slow down moving speed 削弱 – 降低移動速度✔
• Cursed – EXP received is decreased 詛咒 – 獲得的經驗值減少
• Stunned – cannot move 眩迷 – 無法移動",,,,,,,,,
,,,,,,,,,
Which NPC is not involved in Mr. Wetbottom's Secret Book?哪個 NPC 沒有參與《泰實夫的秘密之書》？,,,,,,,,,
"• Ronnie 洛尼
• Rina 麗娜
• Rowen the Fairy 妖精羅雯
• Mr. Wetbottom 泰實夫
• Ria 里亞✔",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in Maple Island?在楓之島上看不到哪個 NPC？,,,,,,,,,
"• Bari 白瑞德
• Teo 特奧✔
• Pio 皮奧
• Sid 武器店老闆
• Maria 瑪莉亞",,,,,,,,,
,,,,,,,,,
Which NPC is not involved in The Chaos Behind Alfonse Green and the Nependeath Juice?哪個 NPC 沒有參與《阿爾馮絲小綠的食人花汁》？,,,,,,,,,
"• Ericsson 艾利遜
• Elma the Housekeeper 管家艾瑪
• Estelle 艾斯達
• Lisa 麗莎✔
• Alfonse Green 阿爾馮絲小綠",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in Sleepywood?在奇幻村中看不到哪個 NPC ？,,,,,,,,,
"• Mr. Oh 倉庫吴老闆
• Lakelis 拉克里斯✔
• Chrishrama 克利斯拉瑪
• The Rememberer 記憶者
• Sabitrama 薩比特拉瑪",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in Orbis?在天空之城看不到哪個 NPC？,,,,,,,,,
"• Elma the Housekeeper 管家艾瑪
• Lisa 麗莎
• Trina 倉庫老闆丁妮
• Moppie 波達
• Jeff 傑夫✔",,,,,,,,,
,,,,,,,,,
Who do you see in the monitor in the navigation room with Kyrin?你在導航室的監視器裡和珈琳一起看到了誰？,,,,,,,,,
"• Lucas 路卡斯
• Dr. Kim 金博士✔
• Chief Stan 長老坦斯
• Scadur 史卡圖勒
• Professor Foxwit 福克斯威特教授",,,,,,,,,
,,,,,,,,,
Which is the first NPC you meet in Maple Island?在楓之島遇到的第一個 NPC 是誰？,,,,,,,,,
"• Sera 莎麗
• Heena 希娜✔
• Lucas 路卡斯
• Roger 羅傑
• Shanks 桑克斯",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in Kerning City?在墮落城市看不到哪個 NPC？,,,,,,,,,
"• Dr. Faymus 雜貨店老闆
• Mong from Kong 來自剛果的蒙
• Alex 阿勒斯
• Luke 魯克✔
• Nella 內拉",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in Perion?在勇士之村中，那個 NPC 是無法看到的？,,,,,,,,,
"• Ayan 義安
• Sophia 索非亞
• Mr. Smith 史密斯
• Francois 易德✔
• Manji 麥吉",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in Henesys?在弓箭手村無法看到哪個 NPC ？,,,,,,,,,
"• Teo 特奧✔
• Vicious 比休斯
• Mia 米雅
• Doofus 科爾
• Pia 皮亞",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in El Nath?在艾納斯大陸看不到哪個 NPC？,,,,,,,,,
"• Vogen 沃根
• Sophia 索菲亞✔
• Pedro 佩德羅
• Master Sergeant Fox 一級軍士長福克斯
• Rumi 魯米",,,,,,,,,
,,,,,,,,,
Which NPC cannot be seen in Ellinia?在魔法密林看不到哪個 NPC？,,,,,,,,,
"• Mr.Park 朴先生
• Mar the Fairy 妖精瑪爾
• Roel 羅爾✔
• Ria 利亞
• Shane 謝恩",,,,,,,,,
,,,,,,,,,
What do you receive in return for giving 30 Dark Marbles to the 2nd job advancement NPC?將 30 顆黑暗彈珠給予 第 2 次轉職 NPC 後，你會收到什麽回報？,,,,,,,,,
"• Old Ring 舊戒指
• Memory Powder 記憶粉末
• Fairy Dust 仙女粉末
• Proof of Hero 英雄的證明✔
• Scroll of Secrets 秘密卷軸",,,,,,,,,
,,,,,,,,,
Which town is not at Victoria Island?維多利亞島上沒有那個城鎮？,,,,,,,,,
"• Nautilus 鸚鵡螺號
• Southperry 南港✔
• Kerning City 廢棄都市
• Perion 勇士部落
• Sleepywood 奇幻村",,,,,,,,,
,,,,,,,,,
What color are Athena Pierce's eyes?雅典娜・皮爾斯的眼睛是什麼顏色？,,,,,,,,,
"• Blue 藍色
• Green 綠色✔
• Brown 棕色
• Red 紅色
• Black 黑色",,,,,,,,,
,,,,,,,,,
What is the color of the orb that Grendel the Really Old is holding in Ellinia?艾利尼亞的格蘭戴爾頭隨身攜帶的寶珠是什麼顏色？,,,,,,,,,
"• White 白色
• Orange 橙色
• Blue 藍色✔
• Purple 紫色
• Green 綠色",,,,,,,,,
,,,,,,,,,
Which of the following is not a 2nd job class?以下哪個不是 2 轉職業？,,,,,,,,,
"• Mage 法師✔
• Cleric 牧師
• Assassin 刺客
• Gunslinger 神槍手
• Fighter 鬥士",,,,,,,,,
,,,,,,,,,
How many feathers are there on Dances with Barlog's Hat?巴洛古勇士之帽上有多少根羽毛？,,,,,,,,,
"• 7
• 8
• 3
• 13✔
• 16",,,,,,,,,
,,,,,,,,,
What item do you give Maya at Henesys in order to cure her sickness?在弓箭手村，你要給瑪雅什麼物品來治好她的病？,,,,,,,,,
"• Apple 蘋果
• Power Elixir 能量藥水
• Weird Medicine 奇怪的藥✔
• Fresh Milk 鮮奶
• Orange Juice 柳橙汁",,,,,,,,,
,,,,,,,,,
"In MapleStory, what is the EXP needed to level up from Lv1 to Lv2?從1級升到2級需要多少經驗？",,,,,,,,,
"• 20
• 15✔
• 4
• 12
• 16",,,,,,,,,
,,,,,,,,,
"For the 1st job advancement, which of the following is the WRONG requirement?對於第1次轉職，以下哪一項是錯誤的要求？",,,,,,,,,
"• Magician – Level 8 魔法師 - 等級8
• Pirate – 20 DEX or more 海盗 - 20點 DEX 或以上的 DEX
• Archer – 25 DEX or more 弓箭手 - 25 DEX 或更高
• Thief – 20 LUK or more 盜賊 - 20 LUK或更高✔
• Swordman – 35 STR or more 劍士 - 35 STR 或更高",,,,,,,,,
,,,,,,,,,
"For the 1st job advancement, which job correctly states the job advancement requirement?對於第1次轉職，哪個職業正確地説明了轉職要求？",,,,,,,,,
"• Pirate-25 LUK 海盜 - 25 LUK
• Magician-Level 10 魔法師 - 等級 10
• Thief-25 LUK 盜賊 - 25 LUK
• Warrior-30 STR 戰士 - 30 STR
• Bowman-25 DEX 弓箭手 - 25 敏捷✔",,,,,,,,,
