Chance,ItemID,Description,Percent
235714,1002144,Brown Matty,0.99%
235714,1002145,Dark Matty,0.99%
235714,1072089,Purple Salt Shoes,0.99%
235714,1072090,Red Salt Shoes,0.99%
235714,1072091,Black Salt Shoes,0.99%
235714,1082054,Red Noel,0.99%
235714,1082055,Blue Noel,0.99%
235714,1082056,Dark Noel,0.99%
235714,1382018,Petal Staff,0.99%
253030,1041051,Red Amoria Top,1.06%
253030,1041052,Blue Amoria Top,1.06%
253030,1041053,Black Amoria Top,1.06%
253030,1050002,Blood Chaos Robe,1.06%
253030,1050029,Dark Chaos Robe,1.06%
253030,1050030,Blue Chaos Robe,1.06%
253030,1050031,White Chaos Robe,1.06%
253030,1061047,Red Amoria Skirt,1.06%
253030,1061048,Blue Amoria Skirt,1.06%
253030,1061049,Black Amoria Skirt,1.06%
253030,1092029,Esther Shield,1.06%
253030,1372001,Wizard Wand,1.06%
283333,1072169,Blue Snowshoes,1.19%
283333,1092021,Mystic Shield,1.19%
